rpt_type_name,title,organ_name,author_name,create_date
行业点评,商业贸易行业周报：天猫超市多渠道融合升级，电商法正式施行持续优化营商环境,中航证券,"薄晓旭,刘琛",2019-01-06
行业点评,商业贸易：聚焦确定性，关注超市龙头,财信证券,"陈博,滕毅",2019-01-03
行业点评,商业贸易行业周报：2018年行业回顾,申万宏源证券,"赵令伊,王昊哲",2019-01-02
行业点评,消费行业,信达证券,"李丹,李沁",2019-01-02
行业点评,商业贸易：巩固经济护城河，关注各品类中零售龙头的扩张性机会,中泰证券,彭毅,2019-01-06
行业点评,商业贸易行业：促消费稳定增长，消费结构进一步优化,诚通证券,陈文倩,2019-01-06
行业点评,商业贸易行业周报（第一周）,华泰证券,"林寰宇,丁浙川",2019-01-06
行业点评,商业贸易：蘑菇街：时尚社交电商的发展与挑战,海通证券,"汪立亭,李宏科,谢茂萱",2019-01-06
行业点评,出行复苏数据跟踪周报（2023年第1周）：短途出行见底回升显著，长途数据底部已现,东吴证券,"吴劲草,石旖瑄",2023-01-04
行业点评,批发零售业：中概股开门红，关注春节消费回暖标的,国泰君安,刘越男,2023-01-08
行业点评,线下消费复苏，百货珠宝大涨——商贸零售行业周报（2022.12.26－2023.01.01）,国泰君安,刘越男,2023-01-02
行业点评,国内零售品牌商积极布局，线下复苏值得期待——培育钻石双周观察（2022.12.19－2023.01.02）,国泰君安,"刘越男,苏颖",2023-01-02
行业点评,商贸零售行业点评报告：免税数据跟踪周报（2023年第1周）：元旦期间赴岛游客继续回升，线上折扣稳中略升,东吴证券,"吴劲草,石旖瑄",2023-01-03
行业点评,中国零售：过去三年的线下场景，哪些公司在快速开店？,海通国际证券,"汪立亭,李宏科,高瑜,Rebecca Hu",2023-01-03
行业策略,消费行业1月投资策略：基本面先抑，必选品优先,海通国际证券,"闻宏伟,胡世炜,陈子叶,肖韦俐",2023-01-03
行业点评,【财通商社】直播电商数据库,财通证券,"潘宁河,刘洋,李跃博",2022-12-21
行业点评,中办国办发文，明确职教改革发展方向——商贸零售行业周报（2022.12.19－12.25）,国泰君安,刘越男,2022-12-24
行业点评,利润大幅改善，重视疫后修复机会——电商行业3Q2022业绩总结,海通证券,"汪立亭,李宏科,曹蕾娜",2022-12-23
行业点评,节日行情氛围将至，期待明年消费回暖——零售行业周报第462期（2022.12.19－2022.12.23）,光大证券,"唐佳睿,田然",2022-12-24
行业策略,黄金珠宝行业年度策略：关注珠宝疫后修复弹性，把握培育钻零售机会,国金证券,"罗晓婷,蔡昕妤",2022-12-23
深度研究,【方正美护－行业深度报告】从防晒剂产业链拆析看行业未来趋势,方正证券,"杨雅婷,陈佳妮",2022-12-24
行业点评,【国元大消费团队】社零月度数据跟踪（11月）,国元证券,徐偲,2022-12-18
行业点评,阿里全力扶助中小微企业，PCAOB声明明确中概退市风险——零售社服行业周报（12.12－12.16）,申万宏源证券,"赵令伊,曹敦鑫",2022-12-19
行业策略,蓄势待发，关注疫后复苏弹性——零售行业2023年年度投资策略,上海证券,"彭毅,张洪乐",2022-12-19
行业点评,11月社零同比－5.9％，政策助力消费复苏：商贸零售周报,莫尼塔,"黄天天,张嘉树,崔晓静",2022-12-18
深度研究,跨境电商深度专题——破而后立、晓喻新生,中泰证券,"韩筱辰,李奇",2022-12-21
行业点评,商贸零售行业点评报告：关于深化现代职业教育体系建设改革的意见出台，高教和职教板块有望估值修复,东吴证券,"吴劲草,谭志千",2022-12-21
行业点评,11月进口环比回暖，防疫优化零售回暖可期——培育钻石双周观察（2022.12.05－12.18）,国泰君安,"刘越男,苏颖",2022-12-19
行业点评,商贸零售：扩内需，促消费——大消费行业周报,浙商证券,"马莉,盛超",2022-12-18
行业策略,可选消费温和复苏，看好大众化消费场景——商贸零售行业2023年投资策略,光大证券,"唐佳睿,田然",2022-12-14
行业策略,最是一年春好处：零售电商行业2023年投资策略,申万宏源证券,"赵令伊,曹敦鑫",2022-12-15
行业点评,可选消费：扩内需战略，助力零售全面回暖,华泰证券,"林寰宇,张诗宇",2022-12-15
行业点评,扩内需促消费，政策推动复苏进程：零售复苏点评报告,财通证券,"于健,李跃博",2022-12-16
行业点评,商业贸易：可选消费全面承压，静待内需回暖,华泰证券,"林寰宇,张诗宇",2022-12-16
行业点评,11月社零增速下滑，政策刺激下消费有望回暖：11月社零数据点评,财通证券,"于健,李跃博",2022-12-16
行业点评,批发零售业：场景受限，加速下行——2022年11月社零数据点评,国泰君安,"刘越男,于清泰,宋小寒",2022-12-16
行业点评,海南开启免税跨年狂欢季，中免、海旅折扣力度环比加大——免税折扣专题系列之二,信达证券,"刘嘉仁,涂佳妮",2022-12-16
行业策略,跨境年度策略：赛道长坡厚雪，估值修复在望,财通证券,"于健,李跃博",2022-12-18
行业点评,11月社消表现不佳，关注春节前消费数据——零售行业周报第461期（2022.12.12－2022.12.16）,光大证券,"唐佳睿,田然",2022-12-17
行业点评,中央经济工作会议：支持平台企业大显身手——商贸零售行业周报（2022.12.12－12.18）,国泰君安,刘越男,2022-12-18
行业点评,饰品：中游库存去化，培育钻毛坯进口环比＋41％,财通证券,"刘洋,李跃博,李天阳",2022-12-13
行业策略,上半场渠道为王，下半场聚焦产品＆品牌优势——饰品年度策略,国盛证券,"杨莹,侯子夜,王佳伟",2022-12-13
行业策略,政策发力，低估值板块复苏：商贸零售行业2023年度投资策略,国泰君安,"刘越男,陈笑,于清泰,苏颖,庄子童",2022-12-14
行业点评,2022年11月培育钻石数据点评：进口环比回暖，出口略显疲软,华创证券,"王薇娜,姚婧",2022-12-14
行业点评,批发零售业：扩内需重磅政策落地，暖风频吹加码复苏,国泰君安,"刘越男,陈笑",2022-12-14
行业点评,防疫优化提振消费复苏，关注线下零售修复弹性——行业周报（20221205－1209）,上海证券,"彭毅,张洪乐",2022-12-12
行业策略,拨云见日终有时：线下零售投资策略报告,财通证券,"于健,李跃博",2022-12-12
行业点评,黄金珠宝电商数据专题分析报告：11月大盘增长提速，黄金、培育钻延续快增,国金证券,"罗晓婷,蔡昕妤",2022-12-12
行业策略,商贸零售2023策略：商业重启，但消费者和产业方向调整,首创证券,李田,2022-12-05
行业点评,行业复苏预期增强，继续推荐弹性赛道——零售行业周报第460期（2022.12.05－2022.12.09）,光大证券,"唐佳睿,田然",2022-12-10
行业点评,黄金珠宝行业研究：本周大钻价格回升，关注黄金珠宝疫后修复,国金证券,"罗晓婷,蔡昕妤",2022-12-11
行业点评,商贸零售：新十条注入确定性，烟火气正在回归——大消费行业周报,浙商证券,"马莉,盛超",2022-12-11
行业点评,商贸零售行业深度报告：消费券深度研究：全面复盘＆问卷调研——哪些领域受益，撬动杠杆几何？,东吴证券,"吴劲草,阳靖",2022-12-11
行业点评,REITs试点范围扩大，赋能发力商业不动产——商贸零售行业周报（2022.12.05－12.11）,国泰君安,刘越男,2022-12-11
行业点评,价格渐趋企稳，零售旺季有望提振——培育钻石双周观察（2022.11.20－12.03）,国泰君安,"刘越男,苏颖",2022-12-05
行业点评,商贸零售行业点评报告：优化防控工作“新十条措施”出炉，感染病例隔离方式和核酸检测方案有边际变化,东吴证券,"吴劲草,石旖瑄,谭志千",2022-12-08
行业策略,浙商零售2023年度策略——寻找最锋利的矛，掘金直播／OPE／珠宝／两轮车赛道龙头,浙商证券,"陈腾曦,刘雪瑞,王家艺",2022-12-07
行业点评,房地产：REITs试点范围进一步扩大，打开商业不动产公募REITs空间——对公募REITs政策的点评,光大证券,"何缅南,周卓君",2022-12-08
深度研究,零售业：需求侧视角看培育钻赛道前景,长江证券,"李锦,陈亮,罗祎",2022-12-08
行业点评,零食连锁：量贩零食店兴起，新零食自由,信达证券,马铮,2022-12-07
行业点评,从商户价值视角再论美团抖音到店竞争——本地生活到店行业专题之二,招商证券,"丁浙川,李秀敏",2022-12-07
行业点评,消费建材企业盈利弹性解析：商贸零售周报,莫尼塔,"黄天天,张嘉树,崔晓静",2022-12-02
行业点评,拼多多逆势增长，收入净利均创历史新高——行业周报（20221128－1202）,上海证券,"彭毅,张洪乐",2022-12-05
行业点评,黄金珠宝行业研究：关注防控政策优化下黄金珠宝修复行情,国金证券,"罗晓婷,蔡昕妤",2022-12-05
行业点评,节衣缩食，盈利回暖——电商互联网2022Q3业绩综述,国泰君安,"刘越男,于清泰,庄子童",2022-12-05
行业点评,2022双十一总结：淡化增速，聚焦粘性,海通国际证券,"汪立亭,李宏科,高瑜",2022-12-03
行业点评,多因素推动，恒生科技指数大涨——商贸零售行业周报（2022.11.28－12.04）,国泰君安,刘越男,2022-12-04
行业点评,本周零售板块走势较强，建议寻找弹性标的——零售行业周报第459期（2022.11.28－2022.12.02）,光大证券,"唐佳睿,田然",2022-12-03
行业点评,库存压力释放，关注跨境“逆境反转＋消费降级”：海外大型零售渠道22Q3业绩总结,财通证券,"于健,李跃博",2022-12-04
行业点评,商贸零售：重点关注黄金珠宝的销售回补机会，板块复苏可期,天风证券,"刘章明,朱琳",2022-11-30
行业点评,双十一销售点评：消费降级、销售承压阶段特点显著，看好大众消费品升级及后续消费复苏确认的新兴消费方向：商贸零售行业简评报告,首创证券,李田,2022-11-14
行业点评,今年双十一抖音表现抢眼，头部主播影响增强：商贸零售周报,莫尼塔,"黄天天,张嘉树,崔晓静",2022-11-25
行业点评,跨境综试区年内再扩容，政策持续支持行业发展——跨境电商行业观察23,国泰君安,"刘越男,陈笑",2022-11-28
行业点评,商贸零售：阿里巴巴利润增速转正，京东净利率持续修复——行业周报（20221121－1125）,上海证券,"彭毅,张洪乐",2022-11-28
行业点评,商贸零售行业跟踪周报：伯克希尔哈撒韦增持日本五大商社，关注国内商社龙头的整合＆成长空间,东吴证券,"吴劲草,阳靖",2022-11-27
行业点评,可选消费：客流复苏，核心商圈有望率先受益,华泰证券,"林寰宇,张诗宇",2022-11-29
行业点评,商业贸易2022双十一总结：淡化增速，聚焦粘性,海通证券,"汪立亭,李宏科,曹蕾娜,张冰清",2022-11-29
行业点评,Tenoris数据分析：美国培育钻零售市场的发展阶段和驱动因素,海通国际证券,"汪立亭,李宏科,许樱之,张若白",2022-11-27
行业策略,商业贸易：行稳致胜，关注格局优化与边际改善,华泰证券,"林寰宇,张诗宇",2022-11-23
行业点评,商贸零售：逸仙电商发布三季报，转型进行时，护肤业务增长稳健,平安证券,"易永坚,徐熠雯",2022-11-23
行业点评,互联网电商：爆款频出致瑞幸Q3盈利高增至5.2亿元，和解进度继续推进——行业点评报告,浙商证券,"谢晨,陈磊",2022-11-23
行业点评,商业贸易：海南多次发放消费券，中服海旅折扣力度较大——免税折扣专题系列之一,信达证券,"刘嘉仁,涂佳妮",2022-11-23
行业点评,跨境电商示范区再扩围，行业发展持续向好,中信建投,"孙晓磊,崔世峰,于伯韬,刘京昭",2022-11-25
行业点评,线下消费场景压力犹存，短期难言全面复苏——零售行业周报第458期（2022.11.21－2022.11.25）,光大证券,"唐佳睿,田然",2022-11-26
行业点评,黄金珠宝电商数据专题分析报告：10月中国培育钻线上销售延续快增,国金证券,"罗晓婷,蔡昕妤",2022-11-25
行业点评,世界杯带火“即时零售”，商超进入接单高峰期——商贸零售行业周报（2022.11.21－11.27）,国泰君安,刘越男,2022-11-27
行业点评,新时代供销社系统对零售物流影响几何？,民生证券,"刘文正,郑紫舟",2022-11-26
行业点评,抖音申请注册“抖音超市”商标，京东零售人事调整：商贸社服行业周报,招商证券,"丁浙川,李秀敏",2022-11-27
行业点评,“双11”首次不公布总成交额，转向求稳求质发展——商贸零售行业周报（2022.11.07－11.13）,国泰君安,刘越男,2022-11-13
行业点评,商贸零售行业点评报告：进一步优化新冠肺炎疫情防控措施出炉，出行修复可期,东吴证券,"吴劲草,石旖瑄",2022-11-11
行业点评,“供销社”重回大众视野，相关概念股连续涨停——商贸零售行业周报（2022.10.31－11.06）,国泰君安,刘越男,2022-11-06
行业点评,底部推荐，困境反转，估值修复：零售行业三季报总结,财通证券,"于健,李跃博",2022-11-06
行业点评,消费变迁＋渠道崛起，二奢产业发展是历史趋势：新经济深度研究系列（一）：中国二手奢侈品产业研究系列报告之二,国泰君安,"朱峰,鲍雁辛",2022-04-08
行业点评,10月印度进口受排灯节错配，出口延续增长——培育钻石双周观察（2022.11.07－11.19）,国泰君安,"刘越男,苏颖",2022-11-20
行业点评,商贸零售：电商渗透率创历史新高，社零总体缓慢复苏——行业周报（20221114－20221118）,上海证券,"彭毅,张洪乐",2022-11-21
行业点评,商贸零售：从美国消费看中国优质制造复苏——大消费行业专题报告,浙商证券,"马莉,陈腾曦,史凡可,詹陆雨",2022-11-21
行业点评,复盘“双十一”：直播电商势头强劲，国产品牌趋势向上主题（2022年第25期）,中信证券,,2022-11-22
行业点评,消费承压，降本为先，把握龙头复苏及趋势赛道机会——浙商大消费Q3电商专题,浙商证券,"马莉,陈腾曦,刘雪瑞",2022-11-22
行业点评,【财通商社】直播电商数据库,财通证券,"潘宁河,刘洋,李跃博",2022-11-22
行业点评,Q4消费预计仍承压，但复苏方向确定——大消费行业周报,浙商证券,"马莉,盛超",2022-11-20
行业点评,商贸零售行业跟踪周报：名创优品FY2023Q1业绩超预期，“中国优质供应链品牌化出海＋疫情恢复”重点标的,东吴证券,"吴劲草,阳靖",2022-11-20
行业点评,消费前瞻行业研究：从供销体系流通服务网络提升建设看投资机会,国金证券,张敏敏,2022-11-20
行业点评,双十一家电零售表现较好，提振消费信心：商贸零售周报,莫尼塔,"黄天天,张嘉树,崔晓静",2022-11-18
行业点评,商贸零售：Pro依旧强势，库存出现改善迹象——北美渠道Q3跟踪报告,浙商证券,"陈腾曦,王家艺",2022-11-21
行业点评,政策频吹暖风，互联网电商估值修复——商贸零售行业周报（2022.11.14－11.20）,国泰君安,刘越男,2022-11-20
行业点评,10月社零增速下降，静待消费需求提振：10月社零数据点评,财通证券,"于健,李跃博",2022-11-16
深度研究,“出海＋社区拼团＋品牌化＋支付”，迎增长和盈利拐点—电商系列深度报告,浙商证券,宁浮洁,2022-11-15
行业点评,2022年10月社零增速低于预期,国新证券,吕梁,2022-11-16
深度研究,赛维时代：B2C跨境电商龙头，品牌化转型未完待续,天风证券,刘章明,2022-11-18
行业点评,10月社消数据相对平淡，期待消费复苏回暖——零售行业周报第457期（2022.11.14－2022.11.18）,光大证券,"唐佳睿,田然",2022-11-19
行业点评,黄金珠宝行业研究：本周克拉HTHP及小钻价格回升,国金证券,"罗晓婷,蔡昕妤",2022-11-13
行业策略,估值修复开启，微观数据不断验证：零售行业周报,财通证券,"于健,李跃博",2022-11-20
行业点评,轻工日化：海外美妆Q3回顾：边际改善，中国市场分化,中金,"樊俊豪,徐卓楠,石狄,黄蔓琪",2022-11-15
行业点评,商业贸易行业：双11平淡收尾，短期看结构分化，长期看电商企业及社会价值——2022年双11跟踪点评,东方证券,"项雯倩,吴丛露,崔凡平",2022-11-15
行业点评,商贸零售：海南免税：离岛免税双11日销3.5亿元消费活跃，海口国际免税城助力竞争力进一步增强，疫情动态优化下免税有望持续快速回暖,天风证券,"刘章明,董懿夫",2022-11-15
行业点评,商贸零售：褪去浮华，稳中向好,财通证券,"于健,李跃博",2022-11-15
行业策略,无惧短期扰动，关注成长机会－－2023年商贸零售行业年度策略,兴业证券,"代凯燕,金秋",2022-11-16
行业点评,批发零售业：环比下滑，需求疲软——2022年10月社零数据点评,国泰君安,"刘越男,于清泰,宋小寒",2022-11-15
行业点评,商贸零售行业跟踪报告：2022年10月培育钻石数据点评：出口数据持续增长，进口略低于预期,华创证券,"王薇娜,姚婧",2022-11-13
行业点评,优化隔离措施，整治层层加码，防控兼顾经济：疫情防控二十条政策点评,招商证券,"丁浙川,李秀敏",2022-11-13
行业点评,双十一总体表现平稳，京东超越行业增速——行业周报（20221107－20221111）,上海证券,"彭毅,张洪乐",2022-11-14
行业点评,中国零售：巨子生物登陆港交所，重组胶原龙头产业前景广阔,海通国际证券,"汪立亭,李宏科,高瑜",2022-11-14
行业点评,双十一收官业绩稳中向好，服务实体经济展现电商增长质量——2022年“双11”购物节消费数据点评,申万宏源证券,"赵令伊,曹敦鑫",2022-11-14
行业点评,黄金珠宝行业研究：10月假期拖累印度毛坯进口，裸钻价格回升,国金证券,"罗晓婷,蔡昕妤",2022-11-14
行业点评,可选消费：双十一竞争分化，直播电商贡献增量,华泰证券,"林寰宇,张诗宇",2022-11-13
行业点评,批发和零售贸易：扎根实体服务实体，拒绝GMV“数字焦虑”——2022年双十一数据点评,光大证券,"唐佳睿,田然",2022-11-12
行业点评,零售板块行情走强，双十一首次未披露具体GMV数据——零售行业周报第456期（2022.11.07－2022.11.11）,光大证券,"唐佳睿,田然",2022-11-12
行业点评,互联网电商：外部环境致总体消费表现平缓，直播电商仍有超额增长——双11点评,浙商证券,"谢晨,陈相合",2022-11-12
行业点评,关注双十一战报、地产政策改善和防控措施优化（22年11.7－11.11周观点）,中信建投,"马王杰,翟延杰,吕育儒",2022-11-13
行业点评,商贸零售行业跟踪周报：“供销社热”背后反映我国流通环节的巨大改造空间，关注产业互联B2B企业发展机遇,东吴证券,"吴劲草,阳靖",2022-11-06
行业点评,平台活动策略分化，新兴渠道值得关注——电商行业双十一购物节深度报告,国元证券,徐偲,2022-11-06
深度研究,商贸零售：豪江智能：智能线性驱动产品领军者，赛道红利下多场景延展业务布局,天风证券,刘章明,2022-11-08
行业点评,9月必选消费稳定性强于可选,华泰证券,"林寰宇,张诗宇",2022-11-01
行业点评,商业贸易：从蜜雪冰城剖析现制茶饮空间与壁垒,华泰证券,"林寰宇,张诗宇",2022-10-28
行业点评,三季报业绩披露落地，股东增持彰显长期信心——培育钻石双周观察（2022.10.24－11.06）,国泰君安,"刘越男,苏颖",2022-11-06
行业点评,商贸零售：IP绑定＋新零售业务双轮驱动，打造防弹饮料市场领先零售商,天风证券,刘章明,2022-11-11
行业点评,宝尊拟收购Gap大中华区，代运营商“品牌”估值逻辑浮现——电商代运营行业点评,浙商证券,"陈腾曦,刘雪瑞",2022-11-10
行业点评,SHEIN试点平台模式，首家长期线下实体店落地东京——跨境电商行业观察22,国泰君安,"刘越男,陈笑",2022-11-11
行业点评,饰品：10月印度培育钻裸钻出口高基数下同比＋22％,财通证券,"刘洋,李跃博,李天阳",2022-11-12
行业点评,商贸零售行业跟踪周报：新冠肺炎疫情防控措施进一步优化，推荐关注出行板块,东吴证券,"吴劲草,石旖瑄",2022-11-13
行业点评,商贸零售：“双十一”帷幕拉开，内循环持续升级——行业周报（20221031－20221104）,上海证券,"彭毅,张洪乐",2022-11-07
行业策略,可选消费温和复苏，看好大众化消费场景——商贸零售行业2023年投资策略,光大证券,"唐佳睿,田然",2022-11-04
行业点评,消费建材底部确认，反弹将至：商贸零售周报,莫尼塔,"黄天天,张嘉树,崔晓静",2022-11-04
行业点评,行业步入传统旺季，市场关注度提升——零售行业周报第455期（2022.10.31－2022.11.04）,光大证券,"唐佳睿,田然",2022-11-05
行业点评,疫情扰动下，国内瑞表销售仍有不确定性——瑞表行业2022年9月数据点评,国泰君安,"刘越男,陈笑",2022-11-05
行业点评,黄金珠宝行业研究：1克拉CVD价格连续三周回升，关注持续性,国金证券,"罗晓婷,蔡昕妤",2022-11-06
行业点评,商业贸易：巨子生物登陆港交所，重组胶原龙头产业前景广阔,海通证券,"汪立亭,李宏科,高瑜",2022-11-07
行业点评,珠宝行业2022年三季报综述：行业增速转正但消费仍承压，龙头品牌加快渠道扩张,招商证券,"刘丽,赵中平,宋盈盈",2022-11-01
行业点评,新渠道崛起，教育信息化迎政策窗口——商贸零售行业2022三季报总结,国泰君安,"刘越男,于清泰,陈笑,苏颖,宋小寒",2022-11-03
深度研究,供给侧日臻完善，静待需求端春风：美妆及商业行业培育钻石行业深度报告,中信证券,"杜一帆,徐晓芳",2022-11-04
行业点评,商贸零售行业2022三季报综述之渠道篇——收入仍有承压，盈利有待修复,长江证券,"李锦,陈亮,罗祎",2022-11-04
行业点评,头部主播破壁，综合电商发力内容，增长质量和商业效率价值凸显——2022年双十一专题报告,申万宏源证券,"赵令伊,曹敦鑫",2022-11-06
行业点评,三季度温和弱复苏，看好低估值百货和黄金龙头——商贸零售行业2022年三季报总结,光大证券,"唐佳睿,田然",2022-11-01
行业点评,黄金珠宝行业研究：Q3偏淡，期待拐点,国金证券,"罗晓婷,蔡昕妤",2022-11-01
行业策略,零售行业周报：静待需求复苏，关注利润修复,财通证券,"于健,李跃博",2022-10-31
行业点评,商贸零售行业跟踪周报：重点推荐产业B2B板块，未来供应链升级重要方向，推荐厦门象屿等,东吴证券,"吴劲草,阳靖",2022-10-31
行业点评,直播电商高歌猛进，头部双星持续闪耀——直播电商专题报告,浙商证券,"马莉,陈腾曦",2022-10-30
行业点评,双11预售：头部国妆初战告捷,华泰证券,"孙丹阳,沈晓峰,梅昕",2022-10-26
行业点评,互联网电商：瑞幸生酪拿铁首周659万杯再创纪录，爆品策略再次验证——行业点评报告,浙商证券,"谢晨,陈磊",2022-10-26
行业点评,9月社零增速放缓，期待Q4需求复苏——行业周报（20221024－20221028）,上海证券,"彭毅,张洪乐",2022-10-31
行业点评,“双11”预售正式打响，竞争格局呈现新变化——商贸零售行业周报（2022.10.24－10.30）,国泰君安,刘越男,2022-10-30
行业点评,9月印度培育钻出口新高，海外零售端积极布局——培育钻石双周观察（2022.10.10－10.23）,国泰君安,"刘越男,苏颖",2022-10-25
行业点评,2022天猫双11前瞻：以消费品工业为例，看天猫“数字化”服务实体企业,海通证券,"汪立亭,李宏科,曹蕾娜,张冰清",2022-10-22
行业点评,苏宁与美团达成战略合作，罗永浩俞敏洪入驻淘宝直播——商贸零售行业周报（2022.10.17－10.23）,国泰君安,刘越男,2022-10-23
行业点评,商贸零售行业点评报告：双11倒计时：预售是主要战场，品牌力大比拼一触即发,东吴证券,"吴劲草,石旖瑄,张家璇,谭志千,阳靖",2022-10-23
行业点评,2022天猫双11前瞻：以消费品工业为例，看天猫“数字化”服务实体企业,海通国际证券,"汪立亭,李宏科,高瑜",2022-10-24
行业点评,海容冷链三季报超预期，行业从疫情中修复：商贸零售周报,莫尼塔,"黄天天,罗超,张嘉树,崔晓静",2022-10-24
行业点评,商贸零售行业跟踪周报：海航基础将变更证券简称为“海南机场”，海南自贸港建设提速蓄势待发,东吴证券,"吴劲草,石旖瑄,张家璇,谭志千,阳靖",2022-10-23
行业点评,美团牵手苏宁，即时零售版图再扩充——行业周报（20221017－20221021）,上海证券,"彭毅,张洪乐",2022-10-24
